sort_num|address|city|state|zip|borough_detail|address_remark|date_t|deliver_type|remark|iron_box|plastic_box|selling_box|paper_shelf|mon|tue|wed|thu|fri|sat|sun|latitude|longitude|created_at|
|5423 8th Ave|Brooklyn|NY|11220|Brooklyn|8 Ave & 55th St||Newspaper box|||1|||50|50|50|50|80|65|0|40.6382509|-74.006159|2014-08-17 21:49:08 -0400|
|5323 8th Ave|Brooklyn|NY|11220|Brooklyn|8 Ave & 54th St||Newspaper box|||1|||50|50|50|50|80|65|0|40.638836|-74.005719|2014-08-17 21:49:08 -0400|
|5202 8th Ave|Brooklyn|NY|11220|Brooklyn|8 Ave & 52nd St||Newspaper box|新报箱12／01／2013／共4个||1|||50|50|50|50|80|65|0|40.64005299999999|-74.005175|2014-08-17 21:49:09 -0400|
|5001 8th Ave|Brooklyn|NY|11220|Brooklyn|8 Ave & 50th St||Newspaper box|||1|||50|50|50|50|80|60|0|40.640896|-74.00357|2014-08-17 21:49:09 -0400|
|4701 8th Ave|Brooklyn|NY|11220|Brooklyn|8 Ave & 47th St||Newspaper box|||1|||50|50|50|50|60|60|0|40.64257|-74.00179299999999|2014-08-17 21:49:09 -0400|
|4411 8th Ave|Brooklyn|NY|11220|Brooklyn|44St和45th St之间||Newspaper box|||1|||40|40|40|40|60|60|0|40.6440569|-74.00027100000001|2014-08-17 21:49:09 -0400|
|3812 9th Ave|Brooklyn|NY|11219|Brooklyn|9th Ave & New Utrecht Ave，靠近D车地铁站一侧||Newspaper box|||1|||60|60|60|60|80|60|0|40.6463461|-73.9947062|2014-08-17 21:49:10 -0400|
|924 55th St|Brooklyn|NY|11204|Brooklyn|放人民报、神韵或退党特刊||Hand delivery|布魯克林真相資料點(鐵櫃子)|||||0|0|0|0|0|0|0|40.636429|-74.0039539|2014-08-17 21:49:10 -0400|
|6121 Ft.Hamilton Pkway|Brooklyn|NY|11219|Brooklyn|62nd St & 61st St 在Ft.Hamilton Pkway上,地铁站一侧,桥中间||Newspaper box||1||||50|50|50|50|80|70|0|40.6324915|-74.0064191|2014-08-17 21:49:10 -0400|
|6722 Fort Hamilton Pkwy|Brooklyn|NY|11219|Brooklyn|在好运来超市门前，Ft.Hamilton Pkway & 68th St||Newspaper box|||1|||100|100|100|100|100|70|0|40.6296836|-74.0116359|2014-08-17 21:49:11 -0400|
|6168 11th Ave|Brooklyn|NY|11219|Brooklyn|11th Ave & 62nd St,在11th Ave上，N车地铁站一侧.||Newspaper box|||1|||50|50|50|50|80|70|0|40.6305057|-74.004018|2014-08-17 21:49:11 -0400|
|61066108 18th Ave|Brooklyn|NY|11204|Brooklyn|家家宝成人日间康乐中心 电话,718-975-8118 问小程 销售||Building||||||15|15|15|15|15|0|0|40.616024|-73.99291|2014-08-17 21:49:11 -0400|
|6318 18th Ave|Brooklyn|NY|11204|Brooklyn|在18th Ave上, 63rd St and 64th St, N车地铁站口||Newspaper box|新粉刷更换的01／14／2014|1||||50|50|50|50|80|65|0|40.6200543|-73.9892646|2014-08-17 21:49:11 -0400|
|1651 68th St # 2F|Brooklyn|NY|11204|Brooklyn|訂報戶到期日期：08-2-14|2015-12-08 00:00:00 -0500|Subscriber||||||1|1|1|1|1|1|0|40.619638|-73.99521299999999|2014-08-17 21:49:12 -0400|
